Video_no,Question_no,Trigger_value,Video_name,Position,Comments,Question,Correct,Wrong_1,Wrong_2,Wrong_3,,,,,,,
2,65,65,Lightbulbs,Post,,What happens when the electrons bump into the mercury atoms in the fluorescent bulbs?,The energy of the collision makes the atoms get excited,The energy of the collision makes the atoms relax,The energy of the collision makes the atoms keep the inside of the bulb clean,The energy of the collision splits the atom and releases energy,66,76,10,1,,,
2,66,66,Lightbulbs,Post,,Which of the following statements best describes the reactions that emit light within a fluorescent tube?,"Electrons in the electrical current collide with mercury gas atoms, causing the atoms to emit light in their excited state",Chlorine gas in the tubes excites the electrons in the electrical current to emit light,"Chemical reactions cause the hydrogen atoms in the tube to collide with the electrons, which emit light in their excited state",None of the options are correct,70,76,6,1,,,
2,67,67,Lightbulbs,Post,,What is fluorescence?,The process of absorbing ultraviolet light and re-emitting it as more visible light,The process of converting electrical current into visible light,The process of capturing the atoms that evaporates of the filament and put them back where they belong,The process of keeping the inside of the bulb clean and clear,76,85,9,1,,,
2,68,68,Lightbulbs,Post,,"Suppose you have a large warehouse or a street that you need to light, which one of the following would you use?",Vapor lamps,LED,Any light producing source,Halogens,94,102,8,0,,,
2,69,69,Lightbulbs,Post,,"The LED semiconductors has 2 layers, one ____________ while the other ____________.","Provides electrons with a lot of energy, Provides a place for the electrons to relax","Provides tungsten atoms, Provides a place for the electrons relax","Provides electrons with a lot of energy, Provides a place for the electrons absorb energy",None of options are correct,122,129,7,1,,,
2,70,70,Lightbulbs,Post,,How does a crystal of semiconducting gallium interact to form light in an LED bulb? Choose the best answer.,Electrons are transported from one end of the diode to the other and emit light,"Electrical current moves electrons from a relaxed state to an excited state, which results in light","Thermal energy transports the electrons from a higher state of energy to a lower state of energy, emitting light",None of the options are correct,110,140,30,0,8.445535118,5,
3,71,71,Immune,Post,,Mark the option below that corresponds to a job that is NOT executed by the immune system.,Produce fungi,Produce antibodies,Kill enemies,Communicate,17,25,8,1,,,
3,72,72,Immune,Post,,Approximately how many body cells die fighting an infection?,Millions,Billions,Thousands,Hundreds,340,347,7,1,,,
3,73,73,Immune,Post,Leading,What is the first cell type to intervene during a bacterial invasion?,Guard cells / macrophage,Memory cells,B-cells,Dendritic cells,103,109,6,1,,,
3,74,74,Immune,Post,Leading,What is the main job of the macrophage cell?,To kill enemies,To cause inflammation,To activate cells,All  options are correct,110,132,22,0,,,
3,75,75,Immune,Post,,Approximately how long does it take bacteria to double its population in the bloodstream?,20 minutes,30 minutes,30 seconds,20 seconds,84,92,8,1,,,
3,76,76,Immune,Post,,When T-cells are born they go through a very difficult and complicated training process.  How many of them survive?,A quarter of them,Half of them,All of them,None of the options are correct,197,203,6,1,,,
3,77,77,Immune,Post,,Which of the following is INCORRECT about B-cells?,B-cells send chemical instructions to the rest of the immune system.,The B-cells are activated by the T-cells,The B-cells are considered a very powerful weapons factory,B-cells work so hard that they can literally die from exhaustion,240,257,17,0,,,
3,78,78,Immune,Post,,Mark the INCORRECT option about antibodies.,They are produced by the dendritic cells,They are engineered to bind to the  surface of a specific intruder,There are different kinds of antibodies that have slightly different jobs,They flood the blood and saturate the body,276,295,19,0,,,
3,79,79,Immune,Post,,After the infection is wiped out most of the immune cells commit suicide. What are the cells that stay behind?,Memory cells,Dendritic cells,Macrophage cells,All options are correct,359,367,8,1,,,
3,80,80,Immune,Post,,B cells are prevented from dying by:,T cells,Antibodies,Helper B-cells,Any white cell,257,265,8,1,,,
3,81,81,Immune,Post,,Neutrophile cells commit suicide after __ in order to _______?,5 days; prevent them from causing too much damage,5 hours; avoid wasting resources,The invading bacteria is defeated; prevent them from causing too much damage,4 days; avoid wasting resources,155,162,7,1,,,
3,82,82,Immune,Post,,How long does it take for Dendritic cells to travel to the lymph nodes?,1 day,1 hour,12 hours,More than 2 days,190,193,3,0,7.200411487,8,
4,83,83,Internet,Post,,When did networks begin communicating with each other?,During 1975,During 1940,During 1950,During 1980,206,213,7,1,,,
4,84,84,Internet,Post,,Mark the correct options about emails.,All options are correct,Most internet traffic in 1976 was email,Email was developed for the ARPANET,Email was developed in 1972,213,222,9,1,,,
4,85,85,Internet,Post,,Most internet traffic during the 1970’s was:,Written communication,Sharing digital images,Statistical data sets,Website retrievals,226,235,9,0,,,
4,86,86,Internet,Post,,"According to the video, what is packet switching?",Both options are correct,Both options are  incorrect,Cutting up data at one end and putting it back together at the other  ,A way of avoiding congestion in busy networks,142,150,8,1,,,
4,87,87,Internet,Post,,When and where was the World Wide Web first launched?,1991; France,1980; Russia,1989; U.S.A.,1995; England,272,278,6,1,,,
4,88,88,Internet,Post,,Why didn’t the commercial network in Britain get developed?,It lacked funding,It didn’t work,It was not finished,None of the options are correct,135,142,7,1,,,
4,89,89,Internet,Post,,What was the goal of the first network?,Optimizing processor usage,Facilitating communication,Sharing research materials,Espionage,88,95,7,1,,,
4,90,90,Internet,Post,,How did time sharing change the efficiency of mainframe computers?,"The mainframes could process several pieces of data at once, so that multiple scientists could use it at the same time","It connected multiple mainframe computers together, resulting in increased communication between scientists",It cut up data at one end and joined it at the other,All options are correct,108,115,7,1,,,
4,91,91,Internet,Post,,"What were the three main computer networks mentioned in the video, each of which was located in a different country?","CYCLADES, ARPANET, NPL","HTML, CYCLADES, NPL","TCP, HTML, ARPANET","NPL, TCP, WWW",179,187,8,1,,,
4,92,92,Internet,Post,,What is the name of the first network?,ARPANET,WWW,CYCLADES,HTML,80,85,5,1,,,
4,93,93,Internet,Post,,For what primary reason did Tim Berners-Lee created the World Wide Web? Choose the best answer.,He wanted to create a platform for information to be organized and shared easily,He wanted to better organize scientists’ information into folders,He wanted to increase communication between people,He wanted to provide ordinary people with better accessibility to scientific information,248,256,8,1,,,
4,94,94,Internet,Post,,Which kind of companies saw the commercial potential of digital communication in the 1990’s?,Phone companies,Car companies,Clothing companies,Travel agencies,285,290,5,1,6.889400695,11,
5,95,95,Boys and Girls,Post,Incorrect?,In which countries does human intervention increase the ratio boys to girls?,China,Azerbaijan,Armenia,South Korea,,,0,0,,,
5,96,96,Boys and Girls,Post,,Most parents-to-be assume:,The sex of their child comes down to a flip of the coin,The sex of their child depends on environmental factors,The sex of their child depends on social factors,All options are correct  ,0,7,7,1,,,
5,97,97,Boys and Girls,Post,,What is the ratio of boys to girls born worldwide?,106:100,100:100,96:100,None of the options are correct,10,17,7,1,,,
5,98,98,Boys and Girls,Post,,How many more baby boys than baby girls are born worldwide each year?,10 million,1 million,5 million,20 million,17,24,7,1,,,
5,99,99,Boys and Girls,Post,,What is the ratio of male to female zygotes during human conception?,150 male zygotes for 100 female zygotes,200 male zygotes for 100 female zygotes,100 male zygotes for 200 female zygotes,100 male zygotes for 150 female zygotes,39,44,5,1,,,
5,100,100,Boys and Girls,Post,,Which of the following scenarios explains why the ratio of boys to girls changes with age?,Boys are more likely to die from diseases at a young age,Girls are less likely to survive than males due to genetic reasons.,Girls more vulnerable to fatal diseases.,The sex ratio does not change,53,60,7,1,,,
5,101,101,Boys and Girls,Post,,What happens to the ratio of boys to girls as children grow and reach baby-making age?,The ratio of boys to girls is about one to one,The ratio of boys to girls is still higher than one,The ratio of boys to girls decays to less than one,Depends on each population  ,60,67,7,1,,,
5,102,102,Boys and Girls,Post,,What happened when a massive famine struck China in the 1960s?,The likelihood of having a son decreased,The likelihood of having a daughter decreased,The likelihood of having a child of either sex increased,The likelihood of having a son increased,74,81,7,1,,,
5,103,103,Boys and Girls,Post,,"In America, what is the probability that male billionaires will father a son?",Higher than average,Lower than average,Same probability,It is not known,82,87,5,1,,,
5,104,104,Boys and Girls,Post,,Under what circumstances do women generally bear fewer boys?,When resources are scarce,When the living environment is healthy,When the economy is good,All options are correct,97,104,7,1,,,
5,105,105,Boys and Girls,Post,,Why is it a biological advantage to produce more girls during harsh living conditions?,Women are much more likely than men to reproduce regardless of their living conditions,Women are less likely to die during harsh living conditions,Men require more sustenance and attention to survive,All options are correct,115,123,8,1,,,
5,106,106,Boys and Girls,Post,,"Besides humans, what other group of animals also modulates the ratio of male to female births according to the scarcity of resources?",Mammals,Birds,Reptiles,All options are correct,95,97,2,0,6.632414003,10,
